uniqueID,IDALL,Yieldeqcumul,Recoded aspect of availability of food,Natural_capital,"Combined 
 ecological-social outcome"
297,599,1.406928214,Equivalent yield,1.3825,Win-Mix
298,609,0.96955128,Cumulative grain yield,1.14,Mix-Mix
299,613,1.112781955,Equivalent yield,1.033457249,Mix-Win
303,618,1.16259274,Cumulative grain yield,1.1608008,Mix-Win
310,626,1.028499581,Equivalent yield,1.043253341,Win-Win
311,626,1.279128248,Equivalent yield,1.385831298,Win-Win
312,631,1.1389157,Cumulative grain yield,1.4975,Win-Mix
314,647,0.72972517,Cumulative grain yield,1.143333333,Mix-Win
315,647,0.69510645,Cumulative grain yield,1.25,Mix-Win
316,666,1.03066717,Cumulative grain yield,1.62,Mix-Win
317,668,1.25403226,Cumulative grain yield,1.481111,Win-Mix
323,682,1.322192711,Cumulative grain yield,1.454545455,Win-Win
324,699,1.7,Cumulative grain yield,1.633333333,Win-Win
340,727,0.936846039,Equivalent yield,1.5075,Lose-Win
341,731,1.197006613,Cumulative grain yield,1.39,Win-Win
348,742,1.343625498,Equivalent yield,1.66,Win-Win
349,742,1.681938911,Equivalent yield,1.695,Win-Win
350,742,1.347830899,Equivalent yield,1.695,Win-Win
358,757,1.186730816,Cumulative grain yield,3.341666667,Win-Win
360,762,0.982599432,Cumulative grain yield,1.58,Lose-Win
361,762,1.4625,Cumulative grain yield,0.93,Win-Mix
362,765,2.242554741,Cumulative grain yield,2.4075,Win-Mix
364,767,0.80156250000000000,Cumulative grain yield,1.0425,Lose-Win
365,767,1.28706395348837000,Cumulative grain yield,0.8345,Win-Lose
366,768,0.80156250000000000,Cumulative grain yield,1.0425,Lose-Mix
367,768,1.28706395348837000,Cumulative grain yield,0.8345,Win-Lose
375,776,1.103073646,Cumulative grain yield,1.533333333,Win-Win
376,776,1.228667072,Cumulative grain yield,1.061666667,Win-Win
379,779,1.07337151,Equivalent yield,1.14,Mix-Mix
380,779,1.059413028,Equivalent yield,1.13,Mix-Mix
388,784,0.633879019,Equivalent yield,1.031666667,Mix-Mix
389,785,1.159054054,Equivalent yield,1.24,Win-Win
