uniqueID,IDALL,Yieldeqcumul,Recoded aspect of availability of food,Profit,"Combined 
 ecological-social outcome"
183,435,1.0621062,Cumulative grain yield,1.39285714,Win-Mix
184,435,1.229523,Cumulative grain yield,1.5,Win-Mix
185,435,1.1314131,Cumulative grain yield,1.25892857,Win-Mix
186,435,0.8073807,Cumulative grain yield,0.96428571,Lose-Lose
187,435,1.0162016,Cumulative grain yield,1.125,Win-Mix
188,435,1.2718272,Cumulative grain yield,1.44642857,Win-Mix
189,435,1.1239872,Cumulative grain yield,1.71755725,Win-Mix
190,435,1.2631967,Cumulative grain yield,1.78625954,Win-Mix
191,435,1.3007611,Cumulative grain yield,1.83206107,Win-Mix
192,435,0.821262,Cumulative grain yield,1.00763359,Lose-Mix
193,435,1.057697,Cumulative grain yield,1.16793893,Win-Mix
194,435,1.5173091,Cumulative grain yield,1.67175573,Win-Mix
195,435,1.4435644,Cumulative grain yield,2.0625,Win-Mix
196,435,1.5168317,Cumulative grain yield,2.125,Win-Mix
197,435,1.3881188,Cumulative grain yield,2.125,Win-Mix
198,435,1.0118812,Cumulative grain yield,1.1875,Win-Mix
199,435,1.3782178,Cumulative grain yield,1.75,Win-Mix
200,435,1.649505,Cumulative grain yield,1.9375,Win-Mix
201,436,1.79159159,Cumulative grain yield,1.030434783,Win-Mix
202,441,1.25769231,Cumulative grain yield,1.583024063,Win-Win
203,441,1.18076923,Cumulative grain yield,1.254639052,Mix-Win
204,444,0.503802281,Cumulative grain yield,0.593155894,Mix-Lose
205,444,1.604562738,Cumulative grain yield,3.152091255,Win-Win
206,444,1.159695817,Cumulative grain yield,3.161977186,Win-Win
207,444,0.882129278,Cumulative grain yield,1.353612167,Lose-Win
208,444,1.604562738,Cumulative grain yield,3.152091255,Win-Win
209,444,1.69581749,Cumulative grain yield,3.583269962,Win-Win
210,453,1.03190602,Equivalent yield,1.132454004,Win-Win
217,477,1.44924055,Equivalent yield,1.357649443,Win-Win
218,478,1.62544748,Equivalent yield,2.212667591,Win-Win
219,489,1.34705465,Equivalent yield,1.853690304,Win-Win
220,495,1.474922326,Cumulative grain yield,2.261437908,Win-Mix
221,495,1.250776742,Cumulative grain yield,1.758169935,Win-Mix
222,496,1.50813008,Cumulative grain yield,1.315080400,Win-Win
223,496,1.52032520,Cumulative grain yield,1.485006519,Mix-Win
224,496,1.56097561,Cumulative grain yield,1.494132986,Mix-Win
226,497,1.017073171,Cumulative grain yield,1.39475052,Win-Win
227,497,0.774907749,Cumulative grain yield,1.330751708,Lose-Win
228,505,0.966924701,Equivalent yield,1.03,Lose-Win
229,505,1.265306122,Equivalent yield,1.33,Win-Win
230,505,1.277973258,Equivalent yield,1.34,Win-Win
231,505,1.251231527,Equivalent yield,1.335,Win-Win
232,505,1.038705137,Equivalent yield,1.125,Win-Win
236,510,0.940464983,Cumulative grain yield,0.966734169,Lose-Lose
237,510,1.189145991,Cumulative grain yield,0.830368038,Win-Lose
238,510,1.340192462,Cumulative grain yield,0.79342052,Win-Lose
244,528,1.09398496,Equivalent yield,1.029748284,Win-Win
245,528,1.02030075,Equivalent yield,0.870251716,Win-Mix
246,528,1.35413534,Equivalent yield,1.109038902,Win-Win
247,529,1.79481638,Equivalent yield,2.134987503,Win-Win
248,529,1.72745847,Equivalent yield,1.846682889,Win-Win
249,529,1.51869078,Equivalent yield,1.307143803,Win-Win
250,530,1.4698382,Equivalent yield,1.95128917,Win-Win
251,530,1.4127647,Equivalent yield,1.841477253,Win-Win
252,530,2.1594388,Equivalent yield,2.23108687,Win-Win
253,539,1.082495294,Equivalent yield,0.957265,Mix-Mix
254,539,1.229925737,Equivalent yield,1.034188034,Win-Mix
255,539,1.091842655,Equivalent yield,0.965811966,Win-Mix
256,539,1.156210515,Equivalent yield,0.914529915,Win-Mix
257,539,1.075417086,Equivalent yield,0.897435897,Win-Mix
258,540,0.98635824,Equivalent yield,0.9597141,Mix-Mix
259,540,0.94439502,Equivalent yield,0.9132554,Mix-Mix
261,546,1.6237854,Equivalent yield,6.22965313,Mix-Win
262,546,1.3704226,Equivalent yield,3.62222899,Mix-Win
263,546,1.3026331,Equivalent yield,3.02822351,Mix-Win
264,546,1.3273254,Equivalent yield,3.23269276,Mix-Win
266,560,1.2629045,Equivalent yield,1.481695063,Win-Win
267,563,0.896742897,Cumulative grain yield,1.017377567,Mix-Win
268,564,0.82107496,Cumulative grain yield,1.342054691,Lose-Mix
269,564,0.98352232,Cumulative grain yield,1.652636712,Lose-Mix
270,564,1.06546415,Cumulative grain yield,1.415435044,Win-Win
271,564,1.22393,Cumulative grain yield,2.286728464,Win-Win
272,564,3.79435364,Cumulative grain yield,3.768846784,Win-Win
273,564,2.81400084,Cumulative grain yield,3.441132347,Win-Win
274,567,1.155991736,Equivalent yield,1.238308652,Win-Win
275,567,1.362573099,Equivalent yield,1.532217573,Mix-Mix
276,570,1.1596,Cumulative grain yield,1.263736264,Mix-Mix
277,574,1.263754045,Equivalent yield,1.235902299,Win-Win
278,575,1.183908046,Equivalent yield,1.240481574,Win-Mix
279,577,1.305925926,Equivalent yield,1.595138889,Win-Win
280,582,2.99312147,Cumulative grain yield,3.025184165,Win-Mix
281,582,1.55517902,Cumulative grain yield,1.618830638,Win-Mix
282,582,2.73558914,Cumulative grain yield,2.762192306,Win-Win
283,582,1.82935376,Cumulative grain yield,2.019519854,Win-Win
284,582,5.34979461,Cumulative grain yield,6.075752117,Win-Win
285,582,4.2351908,Cumulative grain yield,5.734606363,Win-Win
286,583,0.74508459,Cumulative grain yield,1.434316354,Mix-Mix
287,583,0.85162323,Cumulative grain yield,0.514745308,Mix-Mix
288,583,0.963877,Cumulative grain yield,1,Mix-Mix
289,583,0.89379653,Cumulative grain yield,1.82111437,Mix-Win
290,583,0.84019851,Cumulative grain yield,0.944281525,Mix-Mix
291,583,1.10245265,Cumulative grain yield,2.850241546,Mix-Win
292,583,1.04004967,Cumulative grain yield,1.618357488,Mix-Mix
293,583,0.931698,Cumulative grain yield,2.323671498,Mix-Mix
295,589,1.2812729,Cumulative grain yield,1.33843085,Win-Mix
296,589,1.1249313,Cumulative grain yield,1.26795213,Win-Mix
297,599,1.406928214,Equivalent yield,1.5333469,Win-Mix
298,609,0.96955128,Cumulative grain yield,1.19381839,Mix-Mix
299,613,1.112781955,Equivalent yield,1.120101645,Mix-Win
303,618,1.16259274,Cumulative grain yield,2.376328502,Mix-Win
310,626,1.028499581,Equivalent yield,1.344262295,Win-Win
311,626,1.279128248,Equivalent yield,1.389344262,Win-Win
312,631,1.1389157,Cumulative grain yield,3.177909763,Win-Mix
314,647,0.72972517,Cumulative grain yield,1.287509239,Mix-Win
315,647,0.69510645,Cumulative grain yield,1.780776847,Mix-Win
316,666,1.03066717,Cumulative grain yield,1.104110539,Mix-Win
317,668,1.25403226,Cumulative grain yield,1.3,Win-Mix
323,682,1.322192711,Cumulative grain yield,1.157277333,Win-Win
325,707,2.331208257,Cumulative grain yield,1.430123457,Win-Win
326,708,1.039026137,Cumulative grain yield,1.63583815,Mix-Win
327,708,1.032342201,Cumulative grain yield,2.779661017,Mix-Win
334,711,1.618681319,Cumulative grain yield,1.897959184,Win-Mix
335,715,1.024116369,Cumulative grain yield,1.031995065,Win-Mix
336,720,1.443045263,Cumulative grain yield,1.23627749,Win-Mix
337,725,0.939174107,Cumulative grain yield,1.07498661,Lose-Win
338,726,0.94697788,Equivalent yield,1.048170587,Mix-Win
339,726,0.96124615,Equivalent yield,1.074367088,Mix-Win
340,727,0.936846039,Equivalent yield,1.195874341,Lose-Win
341,731,1.197006613,Cumulative grain yield,1.448672739,Win-Win
344,737,1.386354657,Cumulative grain yield,5.049511871,Win-Win
345,737,2.19219167,Cumulative grain yield,5.199235581,Win-Win
346,738,1.724929903,Cumulative grain yield,1.063841219,Win-Mix
347,741,1.120046349,Cumulative grain yield,1.31341245,Win-Win
348,742,1.343625498,Equivalent yield,1.371451509,Win-Win
349,742,1.681938911,Equivalent yield,1.750353243,Win-Win
350,742,1.347830899,Equivalent yield,1.3500,Win-Win
362,765,2.242554741,Cumulative grain yield,2.062533645,Win-Mix
366,768,0.80156250000000000,Cumulative grain yield,1.032608696,Lose-Mix
375,776,1.103073646,Cumulative grain yield,1.231012395,Win-Win
376,776,1.228667072,Cumulative grain yield,1.353598981,Win-Win
379,779,1.07337151,Equivalent yield,0.850551459,Mix-Mix
380,779,1.059413028,Equivalent yield,0.806043203,Mix-Mix
381,782,1.23943662,Equivalent yield,1.24600467,Win-Mix
382,782,1.133802817,Equivalent yield,1.147166566,Win-Mix
383,782,1.105633803,Equivalent yield,1.113875645,Win-Mix
384,783,1.293103448,Equivalent yield,1.668202555,Win-Mix
385,783,2.000000,Equivalent yield,3.031706204,Win-Mix
386,783,1.182156134,Equivalent yield,1.322730924,Win-Mix
387,783,1.791821561,Equivalent yield,2.283148594,Win-Mix
388,784,0.633879019,Equivalent yield,0.740289678,Mix-Mix
