uniqueID,IDALL,Supp_services_average_percent_transf,Supp_services_average,Impact of intensification on: ES supporting Soil formation/flood prevention,Impact of intensification on: ES Supporting Nutrient cycling,"Impact of intensification on: 
 ES supporting Primary production (e.g. total biomass)",Nonecon_wellbeing_average,"Impact of intensification on: natural capital (land, water resources, livestock)","Impact of intensification on: 
 Health",Impact of intensification on: Food security,"Impact of intensification on: 
 Justice",Impacts of intensification on: Property rights,Employment,"Combined 
 ecological-social outcome"
287,583,50,1.5,NA,NA,1.5,0.76785715,NA,1,0.5357143,NA,NA,,Mix-Mix
288,583,25,1.25,NA,NA,1.25,1.4392857,NA,1.7,1.1785714,NA,NA,,Mix-Mix
289,583,173.44173,2.7344173,NA,3.4444444,2.0243902,1.44166665,NA,1.55,1.3333333,NA,NA,,Mix-Win
290,583,157.65583,2.5765583,NA,3.0555556,2.097561,1.0277778,NA,1,1.0555556,NA,NA,,Mix-Mix
291,583,0,1,NA,NA,1,1.4292453,NA,1.5,1.3584906,NA,NA,,Mix-Win
292,583,50,1.5,NA,NA,1.5,1.1061321,NA,1.25,0.9622642,NA,NA,,Mix-Mix
293,583,0,1,NA,NA,1,1.15,NA,1.3,1,NA,NA,,Mix-Mix
298,609,7.757155,1.07757155,NA,1.153497,1.0016461,1.14,1.14,NA,NA,NA,NA,,Mix-Mix
299,613,-4.062703406,0.959372966,NA,0.959372966,NA,1.033457249,1.033457249,NA,NA,NA,NA,,Mix-Win
303,618,11.1509,1.111509,NA,1.111509,NA,1.0991167,1.1608008,1.0374326,NA,NA,NA,,Mix-Win
312,631,18.35878,1.1835878,NA,NA,1.1835878,1.4975,1.4975,NA,NA,NA,NA,,Win-Mix
320,673,17.90585975,1.179058598,NA,1.179058598,NA,1.066666667,NA,1.066666667,NA,NA,NA,,Win-Mix
323,682,31.52956009,1.315295601,NA,NA,1.315295601,1.454545455,1.454545455,NA,NA,NA,NA,,Win-Win
324,699,82.58577596,1.82585776,1.82585776,NA,NA,1.633333333,1.633333333,NA,NA,NA,NA,,Win-Win
341,731,31.35830665,1.313583067,NA,NA,1.313583067,1.39,1.39,NA,NA,NA,NA,,Win-Win
348,742,11.4398148,1.114398148,NA,1.241269841,0.987526455,1.443684211,1.66,1.227368421,NA,NA,NA,,Win-Win
349,742,10.87278845,1.108727884,NA,1.231746032,0.985709737,1.4775,1.695,1.26,NA,NA,NA,,Win-Win
350,742,25.18472043,1.251847204,NA,1.511111111,0.992583297,1.6975,1.695,1.70,NA,NA,NA,,Win-Win
358,757,18.99777247,1.189977725,NA,1.128898167,1.251057282,3.341666667,3.341666667,NA,NA,NA,NA,,Win-Win
375,776,22.091688,1.22091688,NA,NA,1.22091688,1.533333333,1.533333333,NA,NA,NA,NA,,Win-Win
376,776,1.0322337,1.010322337,NA,NA,1.010322337,1.061666667,1.061666667,NA,NA,NA,NA,,Win-Win
377,778,6.250979118,1.062509791,NA,1.046632124,1.078387458,1.030398323,NA,1.030398323,NA,NA,NA,,Win-Win
378,778,-0.441255824,0.995587442,NA,0.984455959,1.006718925,1.031446541,NA,1.031446541,NA,NA,NA,,Mix-Win
379,779,5.096831878,1.050968319,NA,1.050968319,NA,1.14,1.14,NA,NA,NA,NA,,Mix-Mix
380,779,3.488924704,1.034889247,NA,1.034889247,NA,1.13,1.13,NA,NA,NA,NA,,Mix-Mix
388,784,6.780675995,1.06780676,1.052380952,1.083232568,NA,1.031666667,1.031666667,NA,NA,NA,NA,,Mix-Mix
