Row_ID,Paper_ID,Authors,Year,Title,ID_FullText,Case countries,Continent,Latitude,Longitude,Food system classification ,"Non-legume main Farm/forest products for 
 which the production is being intensified (NOT all products produced)",Legume,Legume_all,Ecological outcome,Social outcome,Combined ecological-social outcome,Description combined ecological-social outcome,Description combined ecological-social outcome
30,64,"Belay D., Schulthess F., Omwega C.",2009,The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia,32,Ethiopia,Africa,8.4,39.183333,Grain / Common bean,Maize,Common Bean,Common Bean,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
118,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya,108,Kenya,Africa,-0.447804829,34.22982231,Grain / Common bean + Desmodium,Maize,Common Bean,Common Bean,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
192,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya,171,Kenya,Africa,0,34.683333,Grain / Common bean,Maize,Common Bean,Common Bean,Lose,Mix,Lose-Mix,Negative Ecological Outcome,Negative Ecological Outcome
6,6,"Adamtey N., Musyoka M.W., Zundel C., Cobo J.G., Karanja E., Fiaboe K.K.M., Muriuki A., Mucheru-Muna M., Vanlauwe B., Berset E., Messmer M.M., Gattinger A., Bhullar G.S., Cadisch G., Fliessbach A., Mäder P., Niggli U., Foster D.",2016,"Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya",6,Kenya,Africa,-1.036862179,37.08315034,Grain / Common bean,Maize,Common Bean,Common Bean,Mix,Lose,Mix-Lose,Negative Social Outcomes,Negative Social Outcomes
186,435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya,171,Kenya,Africa,7.383333,34.733333,Grain / Common bean,Maize,Common Bean,Common Bean,Lose,Lose,Lose-Lose,Negative Socio-ecological Outcomes,Negative Socio-ecological Outcomes
360,762,"Isaacs KB, Snapp SS, Chung K, Waldman KB. ",2016,Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda.,347,Rwanda,Africa,-1.474139,29.568172,Grain / Common bean,Maize,Common Bean,Common Bean,Lose,Win,Lose-Win,Opposing Socio-ecological Outcome,Opposing Socio-ecological Outcome
363,766,"Guvenc, I., & Yildirim, E. (2005, Dec). ",2005,Intercropping with eggplant for proper utilisation of interspace under greenhouse conditions,351,Turkye,Asia,39.898367,41.236439,Non-Grain / Common bean,Eggplant,Common Bean,Common Bean,Lose,Win,Lose-Win,Opposing Socio-ecological Outcome,Opposing Socio-ecological Outcome
317,668,"Worku W., Temeche D., Gossa R., Abate B.",2021,Agronomic management options to enhance adoption of maize–common bean–common bean sequential intercropping in southern Ethiopia,270,Ethiopia,Africa,7.083333,38.5,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
50,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India",49,India,Asia,27.980252,94.691135,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
52,107,"Choudhary V.K., Kumar P.S., Sarkar S.K., Yadav J.S.",2013,"Production potential, economic analysis and energy auditing for maize (Zea mays)-vegetable based cropping systems in Eastern Himalayan Region, Arunachal Pradesh",50,India,Asia,27.980252,94.691135,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
