uniqueID,StudyID_IDALL,Authors,Year,Title,Citation,Unit of analysis,Data type,data.collection,Setting Type,Time period,Time scale (years),Total treatments (including controls),Number of intercrop or rotation treatments including grain legumes (not sole legumes),Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls),Total number of replicates per treatment,Number of study regions/sites,time.simpl,replicates.simp,Are the authors studying/identifying legume introduction intensification as the main source of ES change?,Are the authors studying/identifying legume introduction as the main source of wellbeing change?,What other drivers are identified as key to ES or well-being change?,Case_countries,"Subnational 
 case area (specify province/region)",Continent,WorldBank National Income Group,Latitude_Decimal_Degrees_N,Longitude (Decimal Degrees) E,Is intensification defined?,Authors' intensification definition,Study design,Intensification actors,Actors.categories,Type of land use intensification described,Simplified cropping system,Intensification type: Crop Change/Addition,Intensification type: Increased Rows/Strip width,Intensification type: Increased rotations,Spatial arrangement of intercropping,Other agro-ecological innovations,Recoded other agro-ecological innovations - Primary ,Recoded other agro-ecological innovations - Secondary,Food system classification ,Non-legume main crop,Legume_category,Grain legume product: Chickpea,Grain legume product: Cowpea,Grain legume product: Groundnut,Grain legume product: Lentil,Grain legume product: Mung bean,Grain legume product: Pigeonpea,Grain legume product: Faba Bean,Grain legume product: Common Bean,Grain legume product: Soybean,Grain legume product: Pea,Grain legume product: Grain legumes (unspecified/other),Other products not target of intensification,"Mineral Fertiliser
 N–P2O5–K2O kgha?1",Synthetic fertiliser category,Water source,Impact of intensification on: Food,Aspect of food measured,Recoded aspect of food,Impact of intensification on: Freshwater,Aspect of water availability measured,Impact of intensification on: Fuelwood,Impact of intensification on: Fiber,Impact of intensification on : Biochemicals,Impact of intensification on: Genetic Resources,"Impact of intensification on: 
 Climate regulation",Aspect of climate regulation measured,Aspect of climate regulation measured,Impact of intensification on: Disease regulation,Impact of intensification on:  Weed/pest regulation,"Aspect of disease, pest or weed regulation measured","Impact of intensification on: 
 Water regulation (e.g. runoff, water use efficiency, infiltration)",Aspect of water regulation measured,"Impact of intensification on: 
 Water purification",Aspect of water purification,Impact of intensification: Pollination,Impact of intensification on: Soil formation/flood prevention,Aspect of soil formation,Impact of intensification on: Nutrient cycling,Aspect of Nutrient cycling measured,Impact of intensification on: Primary production,Aspect of primary production,"Impact of intensification on: 
Speciesoccurrence/abundance - Diversity, composition,Abundance",Aspect of composition,"Impact of intensification on: 
 Biodiversity- Habitat (Land sparing)",Aspect of biodiversity structure,"Functional indicator, including Soil organic carbon (linked to carbon sequestration, primary productivity, biodiversity, nutrient cycling, water formation, soil stability: https://doi.org/10.1016/B978-0-12-811687-6.00001-8)",Aspect of function e.g. grams of organic carbon per unit area per unit time; herbivory rate,Recoded Aspect of function e.g. grams of organic carbon per unit area per unit time,Impact of intensification on: Income,Aspect of income measured,Recoded impact on income,Impact of intensification on: Financial Security (Risk),Aspect of financial security measured,Recoded impact on financial security,Impact of intensification on: Material assets/ physical capital,Aspect of material assets/ physical capital impacted,Recoded material assets/ physical capital,Savings in cost of labour,Aspect of Savings in cost of labour,Impact of intensification on: Natural capital,Aspect of natural capital impacted,Recoded impact on natural capital,Impact of intensification on: Health,Aspect of health impacted,Recoded aspect of impact on health,Impact of intensification on: Education,Aspect of education impacted,Impact of intensification on: Social/cultural relations or values,Aspect of social relations impacted,Impact of intensification on: Food security,Aspect of food security impacted,Recoded aspect of food security,Impact of intensification on: Employment opportunities/Labour,Aspect of employment impacted,"Recoded aspect of employment, split into economic & non-economic impacts",Employment gain,Impact of intensification on: Justice,Aspect of justice impacted,Impacts of intensification on: Property rights,Aspect of property rights impacted,Combined ecological-social outcome,Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?,"If intensification is leading to changed demands, specify whose demand and which ES",IF Yes to changed demands: Are the changes disaggregated by different groups?,"If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing",General factors enabling adoption,General factors constraining adoption,Factors identified as enabling ecosystem services,Factors identified as constraining ecosystem services,Factors identified as enabling well being,Factors identified as constraining well being,Notes,Documentation of methods of data extraction,Secondary reference,Study spatial design (do they have enough replicates?),Study temporal design (do they collect data over multiple points in time?),Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?),Reporting,Risk of bias,Tools for assessment (Were valid and reliable tools used to assess  outcomes?),Sum.Quality
1,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536",Community,Quantitative,Participatory Action Research,RC,2014-2016,3,7,4,3,5,2, 2-4, 5-10,Yes,Yes,"Population increase, land accessibility, climate change",Ghana,Upper West region,Africa,LMIC,10.5,-2.333333,No,"""cropping strategy that increases productivity, income, and resource utilization per unit area of available arable lands to improve land use"".
 ""intervention communities in northern Ghana for the Africa Research In Sustainable Intensification for the Next Generation (Africa RISING) project""",Experiment (on farm),Farmer-led + support by global NGO & researchers,Farmer-led + researcher/extension,Intercropping: Cereal-legume,Intercrop,1,1,0,Strip,Existing farmers' practices,Existing farmers' practices,,Grain / Chickpea + Cowpea,Maize,Multiple,0,1,1,0,0,0,0,0,0,0,0,NA,40-40-40,Synthetic - below threshold,rainfed,1.15,"Total grain yield (proportion change yield over sole cropping, average of non-legume treatments or over lighter instensity of rows)",Cumulative grain yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,local farm income,Net profit,Positive,Probability of net positive income; Risk of operating at financial loss,Financial risk,NA,NA,NA,,NA,2.03,Land Equivalent Ratio (availability of land for other activities),LER,NA,NA,NA,NA,NA,NA,NA,Positive,"More steady food supply: """"This result supports the findings that intercropping of cereals with legumes is an effective crop yield loss risk-spreading strategy from erratic rainfall pattern for smallholder farmers""",Food stability ,NA,NA,NA,NA,NA,NA,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,None,"Gender, livestock",Female farmers need to cultivate legumes; crop/livestock farmers use cowpea and groundnut residues for livestock feeding,rainfall fluctuation,NA,market prices; rainfall fluctuation- legumes more steady food supply increase food security,insect pest infestation of cowpea,"Quantitative values provided as mean, SD, min-max",NA,,2,2,2,2,2,2,12
2,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536",Community,Quantitative,Participatory Action Research,RC,2014-2016,3,7,4,3,5,2, 2-4, 5-10,Yes,Yes,"Population increase, land accessibility, climate change",Ghana,Northern Region,Africa,LMIC,9.5,-1.166667,No,"""cropping strategy that increases productivity, income, and resource utilization per unit area of available arable lands to improve land use"".
 ""intervention communities in northern Ghana for the Africa Research In Sustainable Intensification for the Next Generation (Africa RISING) project""",Experiment (on farm),Farmer-led + support by global NGO & researchers,Farmer-led + researcher/extension,Intercropping: Cereal-legume,Intercrop,1,1,0,Strip,Existing farmers' practices,Existing farmers' practices,,Grain / Chickpea + Cowpea,Maize,Multiple,0,1,1,0,0,0,0,0,0,0,0,NA,40-40-40,Synthetic - below threshold,rainfed,1.01,Total grain yield,Cumulative grain yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,local farm income,Net profit,Positive,Probability of net positive income; Risk of operating at financial loss,Financial risk,NA,NA,NA,,NA,1.93,Land Equivalent Ratio (availability of land for other activities),LER,NA,NA,NA,NA,NA,NA,NA,Positive,"More steady food supply: """"This result supports the findings that intercropping of cereals with legumes is an effective crop yield loss risk-spreading strategy from erratic rainfall pattern for smallholder farmers""",Food stability ,NA,NA,NA,NA,NA,NA,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,None,"Gender, livestock",Female farmers need to cultivate legumes; crop/livestock farmers use cowpea and groundnut residues for livestock feeding,rainfall fluctuation,NA,market prices; rainfall fluctuation- legumes more steady food supply increase food security,insect pest infestation of cowpea,"Quantitative values provided as mean, SD, min-max",NA,,2,2,2,2,2,2,12
3,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,Comparison of barley-based intercropping system for productivity and net economic return,"Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.",Plot,Quantitative,Experiment (research station),E/M,2009-2011,2,8,2,6,3,1, 2-4, 3-4,Yes,Yes,"Population increase, demand for food, feed and forage",Pakistan,Faisalabad,Asia,LMIC,31.427721,73.066528,No,,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Cereal-legume,Intercrop,1,0,0,Row,Existing farmers' practices,Existing farmers' practices,,Grain / Chickpea,Barley,Chickpea,1,0,0,0,0,0,0,0,0,0,0,"Egyptian clover, linseed, fennel, garden cress, garlic",100-75-75,Synthetic - below threshold,irrigation,1.049671,Only cereal yield,Non-legume yield only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02701784,net grain value per hectare,Net profit,NA,NA,NA,NA,NA,NA,,NA,1.75,Land Equivalent Ratio (availability of land for other activities),LER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,12
4,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,Comparison of barley-based intercropping system for productivity and net economic return,"Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.",Plot,Quantitative,Experiment (research station),E/M,2009-2011,2,8,2,6,3,1, 2-4, 3-4,Yes,Yes,"Population increase, demand for food, feed and forage",Pakistan,Faisalabad,Asia,LMIC,31.427721,73.066528,No,,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Cereal-legume,Intercrop,1,0,0,Row,Existing farmers' practices,Existing farmers' practices,,Grain / Lentil,Barley,Lentil,0,0,0,1,0,0,0,0,0,0,0,"Egyptian clover, linseed, fennel, garden cress, garlic",100-75-75,Synthetic - below threshold,irrigation,1.10952641,Only cereal yield,Non-legume yield only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33868449,net grain value per hectare,Net profit,NA,NA,NA,NA,NA,NA,,NA,1.78,Land Equivalent Ratio (availability of land for other activities),LER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,2,2,2,2,12
5,6,"Adamtey N., Musyoka M.W., Zundel C., Cobo J.G., Karanja E., Fiaboe K.K.M., Muriuki A., Mucheru-Muna M., Vanlauwe B., Berset E., Messmer M.M., Gattinger A., Bhullar G.S., Cadisch G., Fliessbach A., Mäder P., Niggli U., Foster D.",2016,"Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya","Adamtey, N., Musyoka, M. W., Zundel, C., Cobo, J. G., Karanja, E., Fiaboe, K. K. M., . . . Foster, D. (2016). Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya. Agriculture Ecosystems & Environment, 235, 61-79. doi:10.1016/j.agee.2016.10.001",Plot,Quantitative,Participatory Action Research,RC,2007-2012,6,3,2,1,4,2, 5-10, 5-10,Yes,No,Availability and quality ofnatural resources (productive land),Kenya,"Chuka, Central Highlands",Africa,LMIC,-0.322807474,37.65418024,No,,Experiment (on farm),Farmer-led + support by global NGOs & researchers,Farmer-led + researcher/extension,Intercropping: Cereal-legume,Intercrop,1,0,0,Row,Reduced fertiliser (High input vs low input),Fertilizer rates/type,,Grain / Common bean + Unspecified legume,Maize,Common bean,0,0,0,0,0,0,0,1,0,0,Unspecified,"Kale/swiss chard, cabbage, potato",31-18-0,Synthetic - below threshold,rainfed,1.19488818,Only cereal yield,Non-legume yield only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,"% change in nutrient export [decline = good].""contributed to improving the soil fertility (data reported separately). The incorporation and mineralisation of decaying legume leaves and root biomass increased the availability of mineral-N to maize crops"" Positive 0.502 SD0.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,local farm income,Net profit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,Yes (benefits for nutrient cycling vs decline in yield/income),land productivity/fertility,NA,improvements in soil management practices and the effects of the crop rotation on soil fertility,"drought/moisture stress (Water stress induced by low rainfall accounted for 12 and 20% of the variation in yields of the maize intercropped with beans in the unirrigated low input systems), soil quality","access to technologies and machinery, soil quality","labour costs, access to technologies and machinery, drought (sites with low or erratic rainfall and initially low inherent soil fertility are not suitable for the production of baby corn and maize as sole crops or maize intercropped with beans and that such activities may incur more production costs than the benefits they bring)",Long Term Systems Comparison Trial; compared org low to conventional low (year 2 and year 5),Conv-Low had a Grain legumes rotation; Org-Low had grain legumes rotation and maize-beans intercropping; no-legume systems were conv-high and org-high,,2,2,2,2,2,2,12
6,6,"Adamtey N., Musyoka M.W., Zundel C., Cobo J.G., Karanja E., Fiaboe K.K.M., Muriuki A., Mucheru-Muna M., Vanlauwe B., Berset E., Messmer M.M., Gattinger A., Bhullar G.S., Cadisch G., Fliessbach A., Mäder P., Niggli U., Foster D.",2016,"Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya","Adamtey, N., Musyoka, M. W., Zundel, C., Cobo, J. G., Karanja, E., Fiaboe, K. K. M., . . . Foster, D. (2016). Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya. Agriculture Ecosystems & Environment, 235, 61-79. doi:10.1016/j.agee.2016.10.001",Plot,Quantitative,Participatory Action Research,RC,2007-2012,6,3,2,1,5,2, 5-10, 5-10,Yes,No,Availability and quality ofnatural resources (productive land),Kenya,"Thika, Central Highlands",Africa,LMIC,-1.036862179,37.08315034,No,,Experiment (on farm),Farmer-led + support by global NGOs & researchers,Farmer-led + researcher/extension,Intercropping: Cereal-legume,Intercrop,1,0,0,Row,Reduced fertiliser (High input vs low input),Fertilizer rates/type,,Grain / Common bean,Maize,Common bean,0,0,0,0,0,0,0,1,0,0,Unspecified,"Kale/swiss chard, cabbage, potato",31-18-0,Synthetic - below threshold,rainfed,0.728,Only cereal yield,Non-legume yield only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.405,"Nutrient export [decline = good].""contributed to improving the soil fertility (data reported separately). The incorporation and mineralisation of decaying legume leaves and root biomass increased the availability of mineral-N to maize crops"" Positive 0.595 SD0.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,local farm income,Net profit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mix-Lose,NA,NA,NA,NA,NA,NA,Yes (benefits for nutrient cycling vs decline in yield/income),land productivity/fertility,NA,improvements in soil management practices and the effects of the crop rotation on soil fertility,"drought/moisture stress (Water stress induced by low rainfall accounted for 12 and 20% of the variation in yields of the maize intercropped with beans in the unirrigated low input systems), soil quality","access to technologies and machinery, soil quality","labour costs, access to technologies and machinery, drought (sites with low or erratic rainfall and initially low inherent soil fertility are not suitable for the production of baby corn and maize as sole crops or maize intercropped with beans and that such activities may incur more production costs than the benefits they bring)",Long Term Systems Comparison Trial; compared org low to conventional low (year 2 and year 5),Conv-Low had a Grain legumes rotation; Org-Low had grain legumes rotation and maize-beans intercropping; no-legume systems were conv-high and org-high,,2,2,2,2,2,2,12
7,9,"Adjei-Nsiah S., Kuyper T.W., Leeuwis C., Abekoe M.K., Giller K.E.",2007,Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana,"Adjei-Nsiah, S., Kuyper, T. W., Leeuwis, C., Abekoe, M. K., & Giller, K. E. (2007). Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana. Field Crops Research, 103(2), 87-97. doi:10.1016/j.fcr.2007.05.001",Community,Quantitative,Experiment (on farm),E/M,2003-2004,2,6,2,4,1,1, 2-4, 1-2,No,No,,Ghana,Wenchi district,Africa,LMIC,7.7,-2.083333,No,,Experiment (on farm),Farmer-led + researcher-led,Farmer-led + researcher/extension,Rotation,Rotation,1,0,0,Sole,Existing farmers' practices,Existing farmers' practices,,Grain / Cowpea + Pigeonpea,Maize,Multiple,0,1,0,0,0,1,0,0,0,0,0,Cassava,60-60-0 or 0-0-0,Synthetic - below threshold,rainfed,1.42,Total grain yield,Non-legume yield only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,reduction in weed biomass Positive SD0.0987,NA,NA,NA,NA,NA,NA,NA,1.5882353,Total soil nitrogen,2.1684988,Dry matter (t ha1) and N content (kg ha1) of plant parts removed in the crop harvest and those returned to the soil,NA,NA,NA,NA,NA,NA,NA,2.76,local farm income,Net profit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,"More steady food supply ""The women prefer pigeonpea/maize rotations due to the role pigeonpea plays in food security""",Food stability ,NA,NA,NA,NA,NA,NA,NA,NA,Win-Win,NA,NA,NA,natives/migrants; males/females,"food; manufactured capital (access to external inputs like insecticides and herbicides: ""most female farmers feel that since the cultivation of cowpea involves the use of external inputs such as insecticides and herbicides, they cannot raise the financial capital required to purchase these inputs""; food security: higher impact for landless vs those with tenure, migrants prefer short-duration crop rotations like cowpea which have ready market and quick return on investment",NA,NA,"food security (women prefer pigeonpea/maize rotations due to the role pigeonpea plays in food security); tenure (migrant and landless farmers are more likely to adopt legume rotation instead of non-lgeume rotation- When there is no readily available market, farmers have to leave the crop in the field until the time that buyers come to buy, a situation which is not conducive for farmers who rent land)","access to finance (cultivation of cowpea involves use of external inputs such as insecticides and herbicides, farmers cannot raise the financial capital required to purchase these inputs); access to labour (Pigeonpea and cassava are also preferred by women because of their relatively lower labour demand)",soil quality/fertiliser use (too much N from fertiliser in sole cropped maize led to more weeds; no need for fertiliser in legume production),NA,market prices (food value) and costs of inputs (fertiliser costs reduce return on investment for maize solecrop); market availability (ready cowpea market); knowledge of benefits,NA,NA,NA,,0,0,2,2,2,2,8
8,10,"Adjei-Nsiah S., Leeuwis C., Giller K.E., Sakyi-Dawson O., Cobbina J., Kuyper T.W., Abekoe M., Van Der Werf W.",2004,"Land tenure and differential soil fertility management practices among native and migrant farmers in Wenchi, Ghana: Implications for interdisciplinary action research","Adjei-Nsiah, S., Leeuwis, C., Giller, K. E., Sakyi-Dawson, O., Cobbina, J., Kuyper, T. W., . . . Van Der Werf, W. (2004). Land tenure and differential soil fertility management practices among native and migrant farmers in Wenchi, Ghana: Implications for interdisciplinary action research. NJAS - Wageningen Journal of Life Sciences, 52(3-4), 331-348. doi:10.1016/S1573-5214(04)80020-4",Farm,Qualitative,Recall/Surveys,RC ,2003-2004,2,NA,NA,NA,NA,NA, 2-4,Unknown,No,No,"Population increase, immigration, land scarcity",Ghana,"Asuoano, Wenchi district",Africa,LMIC,7.583333,-2.083333,No,,Recall,Farmer-led + researcher-led,Farmer-led + researcher/extension,Intercropping + Rotation,Intercrop-Rotation,1,0,1,Rotation,Existing farmers' practices,Existing farmers' practices,,Grain + Non-Grain / Cowpea + Pigeonpea + Groundnut,"Maize, Yam",Multiple,0,1,1,0,0,1,0,0,0,0,0,,0-0-0,No synthetic,rainfed,Positive,Total grain yield,Non-legume yield only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,weed biomass Positive,Positive,Water infiltration,NA,NA,NA,Positive ,Soil erosion/compaction,Positive,"Visual assessment of greenness: ""Crops grown on the land after pigeon pea, and especially maize, are perceived by the farmers to look greener, grow faster and yield more""",NA,NA,Positive,Higher earthworm activity,NA,NA,NA,NA,NA,Positive,local farm income,Net profit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,More steady food supply,Food stability ,NA,NA,NA,NA,NA,NA,"Mixed (positive for those with tenure, negative for landless)","Decreased land tenure: """"I will never plant pigeon pea again because when I planted pigeon pea to improve the fertility ofmy farmland, the landlord asked me to quit the land because one ofhis sons was coming to farm on the land when he observed that the fertility of the land had improved""",Win-Mix,NA,NA,NA,natives/migrants; males/females,"food security (migrants rely on short-term rotations of legumes due to lack of tenure), property rights","Mixed (positive for those with tenure, negative for landless)",NA,Land ownership; perceived social pressure,ability to mobilise resources and access capital,"soil quality (""Farmers also attribute the yield increase in maize after cowpea to an increase in fertility of the soil as a result of the decomposition of the cowpea foliage that is left on the land after harvest""); rainfall unreliability (Farmers cite high cost and risk ofcrop failure due to the unreliability ofrainfall as the reasons for not using inorganic fertilizers)",NA,market prices (food value) and costs of inputs (no fertiliser costs for legumes); market access (ready market for cowpea); knowledge of benefits,"land (Most migrant farmers feel that they cannot raise sufficient money to includepigeon pea in their cropping system. This relates to the circumstance that migrants cannot own land, while landowners commonly demand immediate payment ofrent before renting out land to tenants, amounting often to paying the total rent in advance)",NA,NA,,0,0,2,2,2,2,8
9,12,"Agegnehu G., Ghizaw A., Sinebo W.",2006,Yield performance and land-use efficiency of barley and faba bean mixed cropping in Ethiopian highlands,"Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006). Yield performance and land-use efficiency of barley and faba bean mixed cropping in Ethiopian highlands. European Journal of Agronomy, 25(3), 202-207. doi:10.1016/j.eja.2006.05.002",Plot,Quantitative,Experiment (research station),E/M,2001–2003,3,7,6,1,4,1, 2-4, 3-4,Yes,Yes,"Population pressure, agro-ecological and cultural diversity, need to produce diverse products from the ever-shrinking land holdings",Ethiopia,Central Highlands,Africa,LIC,9.05,38.5,No,,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Cereal-legume,Intercrop,1,1,0,Mixed,Existing farmers' practices,Existing farmers' practices,,Grain / Faba bean,Barley,Faba bean,0,0,0,0,0,0,1,0,0,0,0,,41- 20,Synthetic - below threshold,rainfed,1.1659,Total grain yield (kg ha-1),Cumulative grain yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.762,1.2984,reduction in weed dry matter Positive SD0.066; reduction in disease Positive 0.762 SD0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,Yield stability under stress,Yield stability,NA,NA,NA,,NA,1.148,Land Equivalent Ratio (availability of land for other activities),LER,NA,NA,NA,NA,NA,NA,NA,Positive,Yield stability under stress,Crop stability,NA,NA,NA,NA,NA,NA,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,"Yes (grain yield vs productivity: ""Although seed yields of the component crops in mixtures were low as compared to their respective sole crop yields, the total land productivity was improved in mixed cultures as supported by higher total LERs"")","reduced labour requirements (""increased suppression of weeds in the mixture may ease pressure on labour for manual weed control and thereby enhance the likelihood of adoption of barley/faba bean mixed cropping""); need for less external inputs",NA,low rainfall/high stress environment (greater yield advantage of intercropping due to more efficient use of growth resources and higher yield stability/security); less external inputs (e.g. fertiliser) that affect weeds/nutrients,NA,low rainfall/high stress environment (greater yield advantage of intercropping due to more efficient use of growth resources and higher yield stability/security),NA,NA,NA,,2,2,2,2,2,2,12
10,785,"Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006, Oct). ",2006,Crop productivity and land-use efficiency of a teff/faba bean mixed cropping system in a tropical highland environment,"Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006). Crop productivity and land-use efficiency of a teff/faba bean mixed cropping system in a tropical highland environment. Experimental Agriculture, 42(4), 495-504. doi:10.1017/s0014479706003863",Plot,Quantitative,Experiment (research station),E/M,2002-2003,2,7,5,2,4,1, 2-4, 3-4,"Not exclusively (also asessing influence of 12.5, 25, 37.5, 50 and 62.5% of the sole seed rate of faba bean mixed with a full teff seed rate)","Not exclusively (also asessing influence of 12.5, 25, 37.5, 50 and 62.5% of the sole seed rate of faba bean mixed with a full teff seed rate)","Intercroping benefits: total grain yield is enhanced compared to sole cropping, provides a balanced diet, minimizes risks of crop failure due to adverse
effects of pests, improves the use of limited resources, reduces soil erosion, increases yield stability and provides higher returns. the
continuous diffusion of modern varieties has changed the landscape of on-farm crop
genetic diversity increasingly leading to the growing of genetically uniform varieties.",Ethiopia,Holetta Agricultural Research Centre - Central Highlands of Ethiopia,Africa,LIC,9.05,38.5,No,NA,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Teff-legume,Intercrop,1,0,0,NA,"asessing influence of 12.5, 25, 37.5, 50 and 62.5% of the sole seed rate of faba bean mixed with a full teff seed rate",Varied spacing/timing,,Grain / Faba bean,Teff,Faba bean,0,0,0,0,0,0,1,0,0,0,0,0,40-26 kg NP ha?1,Synthetic - below threshold,rainfed,1.159054054,Teff equivalent yield kg ha-1,Equivalent yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.319115735,Weed Total biomass kg ha-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1.24,Land equivalent ratio,LER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,"Mixed cropping of faba bean in teff reduced weed biomass to below that observed
in sole teff.  As a result, the increased suppression of weeds in the mixture may ease the demand on labour
for manual weed control and thereby enhance the likelihood of adoption of teff/faba
bean mixed cropping.",NA,NA,NA,NA,"we propose that mixed cropping of faba bean
in full teff culture at a density not exceeding 62.5% of the sole faba bean culture may
improve overall yields and incomes.",NA,,"Table 3_ effects on yield, Table 4_ effects on weed biomass",,2,2,2,2,1,2,11
