"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","All_services_average_percent_transf","All_services_average","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Aspect of Nutrient cycling measured","Primary_production","Biodiversity_composition_spp_occurrence_abunndance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Econ_wellbeing_average_percent_transf","Econ_wellbeing_average","Profit","Financial_security","Physical_capital","Savings_labour_cost","Combined_ecological_social_outcome"
17,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",9.41945,1.0941945,"0.95850000000000002","Cumulative grain yield","NA","NA","NA","NA","NA","1.229889","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",36.6,1.366,"1.3660000000000001","NA","Positive",NA,"Mix-Win"
18,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",8.31895,1.0831895,"1.2889999999999999","Cumulative grain yield","NA","NA","NA","NA","NA","0.87737900000000002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",178.2,2.782,"2.782","NA","Positive",NA,"Mix-Win"
19,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",7.60864999999999,1.0760865,"0.86599999999999999","Cumulative grain yield","NA","NA","NA","NA","NA","1.286173","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",59.6,1.596,"1.5960000000000001","NA","Positive",NA,"Mix-Win"
20,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",5.22454999999999,1.0522455,"1.1559999999999999","Cumulative grain yield","NA","NA","NA","NA","NA","0.94849099999999997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",215.1,3.151,"3.1509999999999998","NA","Positive",NA,"Mix-Win"
24,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",20.4538783333333,1.20453878333333,"1.29310345","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.1666666999999999","Available soil nitrogen","NA","NA","NA","1.1538462","Energy flows",66.8202555,1.668202555,"1.6682025549999999","NA","NA",NA,"Win-Win"
25,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",47.5236566666666,1.47523656666667,"2","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.1949405","Available soil nitrogen","NA","NA","NA","1.2307691999999999","Energy flows",203.1706204,3.031706204,"3.0317062039999998","NA","NA",NA,"Win-Win"
26,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",22.286561,1.22286561,"1.1821561300000001","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.3","Available soil nitrogen","NA","NA","NA","1.1864406999999999","Energy flows",32.2730924,1.322730924,"1.322730924","NA","NA",NA,"Win-Win"
27,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",46.564552,1.46564552,"1.79182156","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.3339285999999999","Available soil nitrogen","NA","NA","NA","1.2711863999999999","Energy flows",128.3148594,2.283148594,"2.283148594","NA","NA",NA,"Win-Win"
29,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4190","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",29.6972307318861,1.29697230731886,"1.23943661971831","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.3332984840564557","Available N (kg/ha)","NA","NA","NA","1.3181818181818183","Carbon",2.83791691156263,1.02837916911563,"1.2460046699570755","1.0362537764350455","0.80287906095475758",NA,"Win-Mix"
30,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4191","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",36.8795275733349,1.36879527573335,"1.1338028169014087","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.5310245687401984","Available N (kg/ha)","NA","NA","NA","1.4415584415584413","Carbon",4.69469267817704,1.04694692678177,"1.1471665664629969","1.0694864048338368","0.92418780904847719",NA,"Win-Mix"
31,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4192","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",42.408563596249,1.42408563596249,"1.1056338028169015","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.6666231050705695","Available N (kg/ha)","NA","NA","NA","1.5","Carbon",3.81018872757171,1.03810188727572,"1.1138756449154794","1.0589123867069485","0.94151763020472301",NA,"Win-Mix"
