"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","All_services_average_percent_transf","All_services_average","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Aspect of Nutrient cycling measured","Primary_production","Biodiversity_composition_spp_occurrence_abunndance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Econ_wellbeing_average_percent_transf","Econ_wellbeing_average","Profit","Financial_security","Physical_capital","Savings_labour_cost","Combined_ecological_social_outcome"
104,766,"Guvenc, I., & Yildirim, E. (2005, Dec).",2005,"Intercropping with eggplant for proper utilisation of interspace under greenhouse conditions","Guvenc, I., & Yildirim, E. (2005). Intercropping with eggplant for proper utilisation of interspace under greenhouse conditions. European Journal of Horticultural Science, 70(6), 300-302.","Plot","Experiment (research station)","Turkey","Asia","UMIC","Synthetic - below threshold","irrigation",-6.35276844468962,0.936472315553104,"0.93647231555310384","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15.8064861011502,1.1580648610115,"1.1580648610115019","NA","NA",NA,"Lose-Win"
105,217,"Halpin N.V., Wang W., Rehbein W.E., Reeves S.H.",2015,"Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district","Halpin, N. V., Wang, W., Rehbein, W. E., & Reeves, S. H. (2015). Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district. 37th Annual Conference of the Australian Society of Sugar Cane Technologists, ASSCT 2015, 23-32.","Plot","Experiment (research station)","Australia","Australia","HIC","Synthetic - below threshold","irrigation",3.1397955190025,1.03139795519002,"1.1134529147982062","Cumulative grain yield","NA","NA","NA","NA","NA","Positive","NA","NA","NA","1","NA","NA","1.0121389059618933","Nitrogen uptake (kgN/ha)","1","NA","NA","NA","NA",21.5273733255678,1.21527373325568,"1.2152737332556784","NA","NA",NA,"Mix-Win"
106,220,"Harsono A., Elisabeth D.A.A., Muzaiyanah S., Rianto S.A.",2020,"Soybean-maize intercropping feasibility under drought-prone area in East Java, Indonesia","Harsono, A., Elisabeth, D. A. A., Muzaiyanah, S., & Rianto, S. A. (2020). Soybean-maize intercropping feasibility under drought-prone area in East Java, Indonesia. Biodiversitas, 21(8), 3744-3754. doi:10.13057/biodiv/d210842","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - above threshold","rainfed",34.505588,1.34505588,"1.3450558800000001","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",22.5742337,1.225742337,"1.225742337","Positive","Negative",NA,"Win-Mix"
107,220,"Harsono A., Elisabeth D.A.A., Muzaiyanah S., Rianto S.A.",2020,"Soybean-maize intercropping feasibility under drought-prone area in East Java, Indonesia","Harsono, A., Elisabeth, D. A. A., Muzaiyanah, S., & Rianto, S. A. (2020). Soybean-maize intercropping feasibility under drought-prone area in East Java, Indonesia. Biodiversitas, 21(8), 3744-3754. doi:10.13057/biodiv/d210842","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - above threshold","irrigation",7.47249400000001,1.07472494,"1.0747249400000001","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-5.2172658,0.947827342,"0.94782734199999996","Positive","Negative",NA,"Win-Mix"
108,765,"Harsono, A., & Pratiwi, H. (2017, May).",2017,"The increase of Ultisol productivity based on intercropping cassava with peanut and soybean","Harsono, A., & Pratiwi, H. (2017). The increase of Ultisol productivity based on intercropping cassava with peanut and soybean. Nusantara Bioscience, 9(2), 157-163. doi:10.13057/nusbiosci/n090209","Plot","Experiment (research station)","Indonesia","Asia","LMIC","Synthetic - above threshold","rainfed",124.255474086586,2.24255474086586,"2.2425547408658559","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",39.4194512019607,1.39419451201961,"2.0625336448505007","0.72585537918871257","NA",NA,"Win-Mix"
110,231,"Hokazono S., Hayashi K.",2015,"Life cycle assessment of organic paddy rotation systems using land- and product-based indicators: a case study in Japan","Hokazono, S., & Hayashi, K. (2015). Life cycle assessment of organic paddy rotation systems using land- and product-based indicators: a case study in Japan. International Journal of Life Cycle Assessment, 20(8), 1061-1075. doi:10.1007/s11367-015-0906-7","Farm","Model (Life Cycle Assessment)","Japan","Asia","HIC","No synthetic","irrigation",19.516129,1.19516129,"1.1951612899999999","Cumulative grain yield","NA","NA","NA","NA","NA","Positive","NA","NA","NA","Positive","NA","NA","NA","NA","NA","NA","NA","NA","NA",55.1283173,1.551283173,"1.5512831730000001","NA","Positive",NA,"Win-Win"
113,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",16.0934422828283,1.16093442282828,"0.91414141414141403","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","1.0581255000000001","NA","NA","1.0514950000000001","1.6041666999999999","Available soil nitrogen","NA","NA","NA","1.1767434999999999","Carbon",203.75,3.0375,"3.0375000000000001","NA","Negative",NA,"Mix-Mix"
114,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",-1.65013913131313,0.983498608686869,"0.84343434343434331","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","0.96145119999999995","NA","NA","1.0830565000000001","1.0625","Available soil nitrogen","NA","NA","NA","0.96705099999999999","Carbon",27.5,1.275,"1.2749999999999999","NA","Negative",NA,"Mix-Mix"
115,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",2.37567496969695,1.02375674969697,"0.84848484848484851","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","0.96659110000000004","NA","NA","1.0472868","1.2083333000000001","Available soil nitrogen","NA","NA","NA","1.0480877","Carbon",-32.5,0.675,"0.67500000000000004","NA","Negative",NA,"Mix-Mix"
116,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",11.8073888686869,1.11807388868687,"0.84343434343434331","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","1.1030234000000001","NA","NA","1","1.5208333000000001","Available soil nitrogen","NA","NA","NA","1.1230784","Carbon",-58.75,0.4125,"0.41249999999999998","NA","Negative",NA,"Mix-Mix"
125,258,"Jat R.D., Jat H.S., Nanwal R.K., Yadav A.K., Bana A., Choudhary K.M., Kakraliya S.K., Sutaliya J.M., Sapkota T.B., Jat M.L.",2018,"Conservation agriculture and precision nutrient management practices in maize-wheat system: Effects on crop and water productivity and economic profitability","Jat, R. D., Jat, H. S., Nanwal, R. K., Yadav, A. K., Bana, A., Choudhary, K. M., . . . Jat, M. L. (2018). Conservation agriculture and precision nutrient management practices in maize-wheat system: Effects on crop and water productivity and economic profitability. Field Crops Research, 222, 111-120. doi:10.1016/j.fcr.2018.03.025","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","irrigation",20.427,1.20427,"1.20427","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Positive","NA","NA","NA","NA",17.76,1.1776,"1.1776","NA","NA",NA,"Win-Win"
126,259,"Jat R.S., Choudhary R.L., Singh H.V., Meena M.K., Singh V.V., Rai P.K.",2021,"Sustainability, productivity, profitability and soil health with conservation agriculture based sustainable intensification of oilseed brassica production system","Jat, R. S., Choudhary, R. L., Singh, H. V., Meena, M. K., Singh, V. V., & Rai, P. K. (2021). Sustainability, productivity, profitability and soil health with conservation agriculture based sustainable intensification of oilseed brassica production system. Scientific Reports, 11(1). doi:10.1038/s41598-021-92801-z","Plot","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","irrigation",21.7073313333333,1.21707331333333,"1.39285714","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.1289397999999999","Partial factor productivity (kg ha−1) of nitrogen","NA","NA","NA","1.1294230000000001","Carbon",37.6452363,1.376452363,"1.3764523630000001","NA","NA",NA,"Win-Win"
127,259,"Jat R.S., Choudhary R.L., Singh H.V., Meena M.K., Singh V.V., Rai P.K.",2021,"Sustainability, productivity, profitability and soil health with conservation agriculture based sustainable intensification of oilseed brassica production system","Jat, R. S., Choudhary, R. L., Singh, H. V., Meena, M. K., Singh, V. V., & Rai, P. K. (2021). Sustainability, productivity, profitability and soil health with conservation agriculture based sustainable intensification of oilseed brassica production system. Scientific Reports, 11(1). doi:10.1038/s41598-021-92801-z","Plot","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","irrigation",14.0626253333333,1.14062625333333,"1.10526316","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0773638999999999","Partial factor productivity (kg ha−1) of nitrogen","NA","NA","NA","1.2392517000000001","Carbon",43.609605,1.43609605,"1.43609605","NA","NA",NA,"Win-Win"
128,268,"Kaizzi K.C., Byalebeka J., Wortmann C.S., Mamo M.",2007,"Low input approaches for soil fertility management in semiarid eastern Uganda","Kaizzi, K. C., Byalebeka, J., Wortmann, C. S., & Mamo, M. (2007). Low input approaches for soil fertility management in semiarid eastern Uganda. Agronomy Journal, 99(3), 847-853. doi:10.2134/agronj2006.0238","Farm","Experiment (on farm)","Uganda","Africa","LIC","No synthetic","rainfed",79.9453883495146,1.79945388349515,"1.7994538834951457","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",43.327092805563,1.43327092805563,"1.4332709280556299","NA","NA",NA,"Win-Win"
129,268,"Kaizzi K.C., Byalebeka J., Wortmann C.S., Mamo M.",2007,"Low input approaches for soil fertility management in semiarid eastern Uganda","Kaizzi, K. C., Byalebeka, J., Wortmann, C. S., & Mamo, M. (2007). Low input approaches for soil fertility management in semiarid eastern Uganda. Agronomy Journal, 99(3), 847-853. doi:10.2134/agronj2006.0238","Farm","Experiment (on farm)","Uganda","Africa","LIC","No synthetic","rainfed",46.8609727602534,1.46860972760253,"1.4686097276025336","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",43.327092805563,1.43327092805563,"1.4332709280556299","NA","NA",NA,"Win-Win"
130,268,"Kaizzi K.C., Byalebeka J., Wortmann C.S., Mamo M.",2007,"Low input approaches for soil fertility management in semiarid eastern Uganda","Kaizzi, K. C., Byalebeka, J., Wortmann, C. S., & Mamo, M. (2007). Low input approaches for soil fertility management in semiarid eastern Uganda. Agronomy Journal, 99(3), 847-853. doi:10.2134/agronj2006.0238","Farm","Experiment (on farm)","Uganda","Africa","LIC","No synthetic","rainfed",68.1747512437811,1.68174751243781,"1.681747512437811","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",43.327092805563,1.43327092805563,"1.4332709280556299","NA","NA",NA,"Win-Win"
133,278,"Kaur N., Bhullar M.S., Gill G.",2015,"Weed management options for sugarcane-vegetable intercropping systems in north-western India","Kaur, N., Bhullar, M. S., & Gill, G. (2015). Weed management options for sugarcane-vegetable intercropping systems in north-western India. Crop Protection, 74, 18-23. doi:10.1016/j.cropro.2015.03.025","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - above threshold","rainfed",59.4927835,1.594927835,"1.5125622700000001","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","1.6772933999999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",87.7427184,1.877427184,"1.8774271840000001","NA","Negative",NA,"Win-Mix"
134,282,"Kermah M., Franke A.C., Adjei-Nsiah S., Ahiabor B.D.K., Abaidoo R.C., Giller K.E.",2017,"Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana","Kermah, M., Franke, A. C., Adjei-Nsiah, S., Ahiabor, B. D. K., Abaidoo, R. C., & Giller, K. E. (2017). Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana. Field Crops Research, 213, 38-50. doi:10.1016/j.fcr.2017.07.008","Field","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",-8.72093,0.9127907,"0.91279069999999995","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Positive","Available soil nitrogen","NA","NA","NA","NA","NA",42.5287356,1.425287356,"1.4252873559999999","NA","NA",NA,"Mix-Mix"
135,282,"Kermah M., Franke A.C., Adjei-Nsiah S., Ahiabor B.D.K., Abaidoo R.C., Giller K.E.",2017,"Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana","Kermah, M., Franke, A. C., Adjei-Nsiah, S., Ahiabor, B. D. K., Abaidoo, R. C., & Giller, K. E. (2017). Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana. Field Crops Research, 213, 38-50. doi:10.1016/j.fcr.2017.07.009","Field","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",8.67051999999999,1.0867052,"1.0867051999999999","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Positive","Available soil nitrogen","NA","NA","NA","NA","NA",107.7777778,2.077777778,"2.0777777780000002","NA","NA",NA,"Win-Mix"
136,282,"Kermah M., Franke A.C., Adjei-Nsiah S., Ahiabor B.D.K., Abaidoo R.C., Giller K.E.",2017,"Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana","Kermah, M., Franke, A. C., Adjei-Nsiah, S., Ahiabor, B. D. K., Abaidoo, R. C., & Giller, K. E. (2017). Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana. Field Crops Research, 213, 38-50. doi:10.1016/j.fcr.2017.07.010","Field","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",-10.365854,0.89634146,"0.89634146000000003","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Positive","Available soil nitrogen","NA","NA","NA","NA","NA",20,1.2,"1.2","NA","NA",NA,"Mix-Mix"
141,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,"Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya","Khan, Z. R., Midega, C. A. O., Njuguna, E. M., Amudavi, D. M., Wanyama, J. M., & Pickett, J. A. (2008). Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya. Crop Protection, 27(7), 1084-1097. doi:10.1016/j.cropro.2008.01.005","Farm","Experiment (on farm)","Kenya","Africa","LMIC","Unknown","rainfed",4.76000000000001,1.0476,"1.0476000000000001","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",355.9053837,4.559053837,"4.5590538370000004","NA","Negative",NA,"Win-Mix"
142,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,"Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya","Khan, Z. R., Midega, C. A. O., Njuguna, E. M., Amudavi, D. M., Wanyama, J. M., & Pickett, J. A. (2008). Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya. Crop Protection, 27(7), 1084-1097. doi:10.1016/j.cropro.2008.01.006","Farm","Experiment (on farm)","Kenya","Africa","LMIC","Unknown","rainfed",0,1,"1","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",742,8.42,"8.42","NA","Negative",NA,"Mix-Mix"
143,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,"Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya","Khan, Z. R., Midega, C. A. O., Njuguna, E. M., Amudavi, D. M., Wanyama, J. M., & Pickett, J. A. (2008). Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya. Crop Protection, 27(7), 1084-1097. doi:10.1016/j.cropro.2008.01.007","Farm","Experiment (on farm)","Kenya","Africa","LMIC","Unknown","rainfed",6.45,1.0645,"1.0645","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",137.6422514,2.376422514,"2.3764225140000002","NA","Negative",NA,"Win-Mix"
144,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,"Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya","Khan, Z. R., Midega, C. A. O., Njuguna, E. M., Amudavi, D. M., Wanyama, J. M., & Pickett, J. A. (2008). Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya. Crop Protection, 27(7), 1084-1097. doi:10.1016/j.cropro.2008.01.008","Farm","Experiment (on farm)","Kenya","Africa","LMIC","Unknown","rainfed",4.55000000000001,1.0455,"1.0455000000000001","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-84.0442686,0.159557314,"0.15955731400000001","NA","Negative",NA,"Win-Mix"
145,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,"Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya","Khan, Z. R., Midega, C. A. O., Njuguna, E. M., Amudavi, D. M., Wanyama, J. M., & Pickett, J. A. (2008). Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya. Crop Protection, 27(7), 1084-1097. doi:10.1016/j.cropro.2008.01.009","Farm","Experiment (on farm)","Kenya","Africa","LMIC","Unknown","rainfed",4.02,1.0402,"1.0402","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",57.0312022,1.570312022,"1.570312022","NA","Negative",NA,"Win-Mix"
146,293,"Khan Z.R., Midega C.A.O., Njuguna E.M., Amudavi D.M., Wanyama J.M., Pickett J.A.",2008,"Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya","Khan, Z. R., Midega, C. A. O., Njuguna, E. M., Amudavi, D. M., Wanyama, J. M., & Pickett, J. A. (2008). Economic performance of the 'push-pull' technology for stemborer and Striga control in smallholder farming systems in western Kenya. Crop Protection, 27(7), 1084-1097. doi:10.1016/j.cropro.2008.01.010","Farm","Experiment (on farm)","Kenya","Africa","LMIC","Unknown","rainfed",11.05,1.1105,"1.1105","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",56.3943631,1.563943631,"1.5639436309999999","NA","Negative",NA,"Win-Mix"
148,297,"Kihara J., Vanlauwe B., Waswa B., Kimetu J.M., Chianu J., Bationo A.",2010,"Strategic phosphorus application in legume-cereal rotations increases land productivity and profitability in western Kenya","Kihara, J., Vanlauwe, B., Waswa, B., Kimetu, J. M., Chianu, J., & Bationo, A. (2010). Strategic phosphorus application in legume-cereal rotations increases land productivity and profitability in western Kenya. Experimental Agriculture, 46(1), 35-52. doi:10.1017/S0014479709990810","Plot","Experiment (on farm)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",10.555556,1.10555556,"1.10555556","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",94.0817551,1.940817551,"1.9408175510000001","NA","Positive",NA,"Win-Win"
149,758,"Komarek AM, Koo J, Haile B, Msangi S, Azzarri C.",2018,"Trade-offs and synergies between yield, labor, profit, and risk in Malawian maize-based cropping systems.","Komarek, A. M., Koo, J., Haile, B., Msangi, S., & Azzarri, C. (2018). Trade-offs and synergies between yield, labor, profit, and risk in Malawian maize-based cropping systems. Agronomy for Sustainable Development, 38(3), 10. doi:10.1007/s13593-018-0506-6","Farm","Surveys, simulations and modelling","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",132.7229466,2.327229466,"2.3272294659999999","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",34.4050421804479,1.34405042180448,"2.4730557256582975","0.84696569920844333","NA","0.71212984054669692","Win-Mix"
151,309,"Kumar M., Kumar R., Rangnamei K.L., Das A., Meena K.L., Rajkhowa D.J.",2019,"Crop diversification for enhancing the productivity for food and nutritional security under the Eastern Himalayas","Kumar, M., Kumar, R., Rangnamei, K. L., Das, A., Meena, K. L., & Rajkhowa, D. J. (2019). Crop diversification for enhancing the productivity for food and nutritional security under the Eastern Himalayas. Indian Journal of Agricultural Sciences, 89(7), 1157-1161.","Field","Experiment (on farm)","India","Asia","LMIC","Unknown","rainfed",235.498952381287,3.35498952381287,"5.8947368421052628","Equivalent yield","NA","NA","NA","NA","NA","1.336898396","NA","NA","NA","NA","NA","NA","NA","NA","2.8333333333333335","NA","NA","NA","NA",523.222626350986,6.23222626350986,"11.428621908127209","NA","Negative","1.0358306188925082","Win-Mix"
152,319,"Kuntashula E., Chabala L.M., Mulenga B.P.",2014,"Impact of minimum tillage and crop rotation as climate change adaptation strategies on farmer welfare in smallholder farming systems of Zambia","Kuntashula, E., Chabala, L. M., & Mulenga, B. P. (2014). Impact of minimum tillage and crop rotation as climate change adaptation strategies on farmer welfare in smallholder farming systems of Zambia. Journal of Sustainable Development, 7(4), 95-110. doi:10.5539/jsd.v7n4p95","Household","Recall","Zambia","Africa","LIC","Unknown","rainfed",20,1.2,"1.19","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.21","NA","NA","NA","NA",0,1,"1","NA","NA",NA,"Win-Mix"
153,320,"Kuri B.R., Yadav R.S., Kumawat A.",2012,"Evaluation of pearl millet (Pennisetum glaucum) and mothbean (Vigna acconitifolia) intercropping systems in hyper arid partially irrigated north-western plains zone","Kuri, B. R., Yadav, R. S., & Kumawat, A. (2014). Evaluation of pearl millet (Pennisetum glaucum) and mothbean (Vigna acconitifolia) intercropping systems in hyper arid partially irrigated north-western plains zone. Indian Journal of Agricultural Sciences, 82(11), 993-996.","Plot","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","irrigation",22.2701670268568,1.22270167026857,"1.2321074380165289","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.2132959025206069","Total N uptake (kg/ha)","NA","NA","NA","NA","NA",12.2229438986766,1.12222943898677,"1.1222294389867662","NA","Negative",NA,"Win-Mix"
155,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,"Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop","Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00094","Plot","Experiment (on farm)","South Africa","Africa","UMIC","Synthetic - below threshold","rainfed",40.9285714285714,1.40928571428571,"1.46","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.4878571428571428","Percentage increases in mineral nutrient composition of maize grain (Average)","1.28","NA","NA","NA","NA",222,3.22,"3.22","NA","Negative",NA,"Win-Mix"
156,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,"Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop","Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00095","Plot","Experiment (on farm)","South Africa","Africa","UMIC","Synthetic - below threshold","rainfed",37.1142857142857,1.37114285714286,"1.47","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.3334285714285714","Percentage increases in mineral nutrient composition of maize grain (Average)","1.31","NA","NA","NA","NA",225,3.25,"3.25","NA","Negative",NA,"Win-Mix"
157,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,"Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop","Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00096","Plot","Experiment (on farm)","South Africa","Africa","UMIC","Synthetic - below threshold","rainfed",18.1723809523809,1.18172380952381,"1.22","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.1751714285714285","Percentage increases in mineral nutrient composition of maize grain (Average)","1.1499999999999999","NA","NA","NA","NA",108,2.08,"2.08","NA","Negative",NA,"Win-Mix"
