"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
170,367,"Manjunath M.G., Salakinkop S.R., Somanagouda G.",2018,"Productivity and profitability of soybean based millets intercropping systems","Manjunath, M. G., Salakinkop, S. R., & Somanagouda, G. (2018). Productivity and profitability of soybean based millets intercropping systems. Research on Crops, 19(1), 43-47. doi:10.5958/2348-7542.2018.00006.2","Plot","Experiment (research station)","India","Asia","LMIC","Unknown","rainfed",1.22146239,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9305927,NA,NA,NA,NA,2.193680249,NA,NA,NA,1.495,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
171,367,"Manjunath M.G., Salakinkop S.R., Somanagouda G.",2018,"Productivity and profitability of soybean based millets intercropping systems","Manjunath, M. G., Salakinkop, S. R., & Somanagouda, G. (2018). Productivity and profitability of soybean based millets intercropping systems. Research on Crops, 19(1), 43-47. doi:10.5958/2348-7542.2018.00006.3","Plot","Experiment (research station)","India","Asia","LMIC","Unknown","rainfed",1.1734072,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825654,NA,NA,NA,NA,2.170420393,NA,NA,NA,1.46,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
172,367,"Manjunath M.G., Salakinkop S.R., Somanagouda G.",2018,"Productivity and profitability of soybean based millets intercropping systems","Manjunath, M. G., Salakinkop, S. R., & Somanagouda, G. (2018). Productivity and profitability of soybean based millets intercropping systems. Research on Crops, 19(1), 43-47. doi:10.5958/2348-7542.2018.00006.4","Plot","Experiment (research station)","India","Asia","LMIC","Unknown","rainfed",1.28172255,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7793273,NA,NA,NA,NA,2.616705962,NA,NA,NA,1.38,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
182,742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,"EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION","Mohan, H. M., Chittapur, B. M., & Hiremath, S. M. (2013). EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION. Legume Research, 36(4), 338-343.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.34362549800797,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24126984126984,0.987526454778716,NA,NA,NA,NA,1.37145150931278,1.14882506527415,NA,NA,1.66,1.22736842105263,NA,NA,NA,NA,NA,NA,"Win-Win"
183,742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,"EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION","Mohan, H. M., Chittapur, B. M., & Hiremath, S. M. (2013). EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION. Legume Research, 36(4), 338-343.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.68193891102258,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23174603174603,0.985709737231472,NA,NA,NA,NA,1.75035324341683,1.2845953002611,NA,NA,1.695,1.26,NA,NA,NA,NA,NA,NA,"Win-Win"
184,742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,"EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION","Mohan, H. M., Chittapur, B. M., & Hiremath, S. M. (2013). EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION. Legume Research, 36(4), 338-343.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.34783089862771,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51111111111111,0.992583297435993,NA,NA,NA,NA,1.35,1.08616187989556,NA,NA,1.695,1.7,NA,NA,NA,NA,NA,NA,"Win-Win"
190,404,"Mwila M., Mhlanga B., Thierfelder C.",2021,"Intensifying cropping systems through doubled-up legumes in Eastern Zambia","Mwila, M., Mhlanga, B., & Thierfelder, C. (2021). Intensifying cropping systems through doubled-up legumes in Eastern Zambia. Sci Rep, 11(1), 8101. doi:10.1038/s41598-021-87594-0","Farm","Experiment (on farm)","Zambia","Africa","LIC","Synthetic - below threshold","rainfed",1.11624326,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1468575,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
297,540,"Sharma K.C.",2018,"Inter/mixed cropping of lentil (Lens culinaris) in late-sown wheat (Triticum aestivum) for higher productivity and profitability of wheat in vertisols of central india","Sharma, K. C. (2018). Inter/mixed cropping of lentil (Lens culinaris) in late-sown wheat (Triticum aestivum) for higher productivity and profitability of wheat in vertisols of central india. Indian Journal of Agronomy, 63(1), 32-38.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",0.98635824,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0366972,1,NA,NA,NA,NA,0.9597141,NA,NA,NA,1.0066667,1.0381294,NA,NA,NA,NA,NA,NA,"Mix-Mix"
298,540,"Sharma K.C.",2018,"Inter/mixed cropping of lentil (Lens culinaris) in late-sown wheat (Triticum aestivum) for higher productivity and profitability of wheat in vertisols of central india","Sharma, K. C. (2018). Inter/mixed cropping of lentil (Lens culinaris) in late-sown wheat (Triticum aestivum) for higher productivity and profitability of wheat in vertisols of central india. Indian Journal of Agronomy, 63(1), 32-38.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",0.94439502,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.029489,1,NA,NA,NA,NA,0.9132554,NA,NA,NA,1,1.037232,NA,NA,NA,NA,NA,NA,"Mix-Mix"
304,731,"Shivaramu HS, Shivashankar K.",1992,"PERFORMANCE OF SUNFLOWER (HELIANTHUS-ANNUUS) AND SOYBEAN (GLYCINE-MAX) IN INTERCROPPING WITH DIFFERENT PLANT-POPULATIONS AND PLANTING PATTERNS","Shivaramu, H. S., & Shivashankar, K. (1992). PERFORMANCE OF SUNFLOWER (HELIANTHUS-ANNUUS) AND SOYBEAN (GLYCINE-MAX) IN INTERCROPPING WITH DIFFERENT PLANT-POPULATIONS AND PLANTING PATTERNS. Indian Journal of Agronomy, 37(2), 231-236.","Plot","Experiment (research station)","India","Asia","LMIC","Unknown","rainfed",1.19700661329621,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31358306650753,NA,NA,NA,NA,1.44867273862828,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
307,563,"Singh B., Dhaka A.K., Kumar S., Singh S., Kumar M.",2017,"Land, biological and economic evaluation of intercropping systems involving barley (Hordeum vulgare), Indian mustard (Brassica juncea) and chickpea (Cicer arietinum) under different spatial arrangements","Singh, B., Dhaka, A. K., Kumar, S., Singh, S., & Kumar, M. (2017). Land, biological and economic evaluation of intercropping systems involving barley (Hordeum vulgare), Indian mustard (Brassica juncea) and chickpea (Cicer arietinum) under different spatial arrangements. Indian Journal of Agronomy, 62(4), 443-450.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",0.896742896742897,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05675675675676,NA,NA,NA,NA,1.0173775671406,NA,NA,NA,1.07333333333333,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
314,567,"Singh L., Singh J.K., Chand L., Hasan B.",2009,"Productivity, economics and competitive indices of lentil (Lens Culinaris)-based intercropping systems in Kashmir valley","Singh, L., Singh, J. K., Chand, L., & Hasan, B. (2009). Productivity, economics and competitive indices of lentil (Lens Culinaris)-based intercropping systems in Kashmir valley. Indian Journal of Agronomy, 54(3), 291-295.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.155991736,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09206008583691,NA,NA,NA,NA,1.23830865159782,NA,1.00136612021858,NA,1.07914572864322,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
315,567,"Singh L., Singh J.K., Chand L., Hasan B.",2009,"Productivity, economics and competitive indices of lentil (Lens Culinaris)-based intercropping systems in Kashmir valley","Singh, L., Singh, J. K., Chand, L., & Hasan, B. (2009). Productivity, economics and competitive indices of lentil (Lens Culinaris)-based intercropping systems in Kashmir valley. Indian Journal of Agronomy, 54(3), 291-295.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.3625730994152,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957412615508236,NA,NA,NA,NA,1.53221757322176,NA,0.93454724409449,NA,0.995,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
318,575,"Singh U., Singh S.R., Saad A.A., Khanday B.A., Singh J.K.",2011,"Yield advantage, reciprosity functions and energy budgeting of lentil (Lens culinaris) + oat (Avena sativa) intercropping under varying row ratio and phosphorus management",NA,"Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.18390804597701,"Equivalent yield",NA,NA,NA,NA,NA,1.03720930232558,NA,NA,1.22477064220183,NA,NA,NA,1.26553672316384,1.18528610354223,NA,NA,NA,NA,1.24048157428344,NA,0.983590733590734,NA,1.24,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
341,609,"Telkar S.G., Singh A.K.",2018,"Productivity, profitability and soil biochemical properties in maize (Zea mays) and soybean (Glycine max) intercropping as influenced by population proportion of component crops","Telkar, S. G., & Singh, A. K. (2018). Productivity, profitability and soil biochemical properties in maize (Zea mays) and soybean (Glycine max) intercropping as influenced by population proportion of component crops. Indian Journal of Agricultural Sciences, 88(3), 458-462.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",0.96955128,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.153497,1.0016461,NA,NA,0.868946,"Carbon",1.19381839,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
355,631,"ul Haq M.I., Ahmad R., Jabbar A., Khalid M.",2018,"The effect of different planting techniques on productivity and profitability of barley-lentil intercrops under semi-arid subtropical climate","ul Haq, M. I., Ahmad, R., Jabbar, A., & Khalid, M. (2018). The effect of different planting techniques on productivity and profitability of barley-lentil intercrops under semi-arid subtropical climate. International Journal of Agriculture and Biology, 20(11), 2437-2445. doi:10.17957/IJAB/15.0787","Plot","Experiment (research station)","Pakistan","Asia","LMIC","Synthetic - below threshold","irrigation",1.1389157,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1835878,NA,NA,NA,NA,3.177909763,NA,NA,NA,1.4975,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
368,682,"Yang X., Chen Y., Pacenka S., Gao W., Ma L., Wang G., Yan P., Sui P., Steenhuis T.S.",2015,"Effect of diversified crop rotations on groundwater levels and crop water productivity in the North China Plain","Yang, X., Chen, Y., Pacenka, S., Gao, W., Ma, L., Wang, G., . . . Steenhuis, T. S. (2015). Effect of diversified crop rotations on groundwater levels and crop water productivity in the North China Plain. Journal of Hydrology, 522, 428-438. doi:10.1016/j.jhydrol.2015.01.010","Plot","Experiment (on farm)","China","Asia","UMIC","Synthetic - below threshold","irrigation",1.32219271063893,"Cumulative grain yield",NA,NA,NA,NA,NA,1.276964184475,NA,NA,1.16212534059945,NA,NA,NA,NA,1.31529560089552,NA,NA,1.05970149253731,"Carbon",1.15727733296115,NA,NA,NA,1.45454545454545,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
