"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Prov_services_average_percent_transf","Prov_services_average","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Econ_wellbeing_average_percent_transf","Econ_wellbeing_average","Profit","Financial_security","Physical_capital","Savings_labour_cost","Combined_ecological_social_outcome"
17,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",-4.15,0.9585,0.9585,"Cumulative grain yield","NA","NA","NA","NA","NA",36.6,1.366,"1.3660000000000001","NA","Positive",NA,"Mix-Win"
18,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",28.9,1.289,1.289,"Cumulative grain yield","NA","NA","NA","NA","NA",178.2,2.782,"2.782","NA","Positive",NA,"Mix-Win"
19,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",-13.4,0.866,0.866,"Cumulative grain yield","NA","NA","NA","NA","NA",59.6,1.596,"1.5960000000000001","NA","Positive",NA,"Mix-Win"
20,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",15.6,1.156,1.156,"Cumulative grain yield","NA","NA","NA","NA","NA",215.1,3.151,"3.1509999999999998","NA","Positive",NA,"Mix-Win"
24,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",29.310345,1.29310345,1.29310345,"Equivalent yield","NA","NA","NA","NA","NA",66.8202555,1.668202555,"1.6682025549999999","NA","NA",NA,"Win-Win"
25,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",100,2,2,"Equivalent yield","NA","NA","NA","NA","NA",203.1706204,3.031706204,"3.0317062039999998","NA","NA",NA,"Win-Win"
26,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",18.215613,1.18215613,1.18215613,"Equivalent yield","NA","NA","NA","NA","NA",32.2730924,1.322730924,"1.322730924","NA","NA",NA,"Win-Win"
27,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",79.182156,1.79182156,1.79182156,"Equivalent yield","NA","NA","NA","NA","NA",128.3148594,2.283148594,"2.283148594","NA","NA",NA,"Win-Win"
29,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4190","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",23.943661971831,1.23943661971831,1.23943661971831,"Equivalent yield","NA","NA","NA","NA","NA",2.83791691156263,1.02837916911563,"1.2460046699570755","1.0362537764350455","0.80287906095475758",NA,"Win-Mix"
30,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4191","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",13.3802816901409,1.13380281690141,1.13380281690141,"Equivalent yield","NA","NA","NA","NA","NA",4.69469267817704,1.04694692678177,"1.1471665664629969","1.0694864048338368","0.92418780904847719",NA,"Win-Mix"
31,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4192","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",10.5633802816901,1.1056338028169,1.1056338028169,"Equivalent yield","NA","NA","NA","NA","NA",3.81018872757171,1.03810188727572,"1.1138756449154794","1.0589123867069485","0.94151763020472301",NA,"Win-Mix"
32,56,"Banjara T.R., Bohra J.S., Kumar S., Singh T., Shori A., Prajapat K.",2021,"Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India","Banjara, T. R., Bohra, J. S., Kumar, S., Singh, T., Shori, A., & Prajapat, K. (2021). Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India. Archives of Agronomy and Soil Science. doi:10.1080/03650340.2021.1912324","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",89.49825,1.8949825,1.8949825,"Equivalent yield","NA","NA","NA","NA","NA",80.2556818,1.802556818,"1.802556818","NA","NA",NA,"Mix-Win"
33,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",7.33715103793844,1.07337151037938,1.07337151037938,"Equivalent yield","NA","NA","NA","NA","NA",-10.0530722317074,0.899469277682927,"0.85055145859165959","0.94838709677419353","NA",NA,"Mix-Mix"
34,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",5.94130279169649,1.05941302791696,1.05941302791696,"Equivalent yield","NA","NA","NA","NA","NA",-12.9236463002065,0.870763536997935,"0.8060432030281276","0.93548387096774188","NA",NA,"Mix-Mix"
35,59,"Batte M.T., Bacon K.J., Hopkins J.W.",1998,"Measures of economic and environmental performance for alternative agricultural production systems","Batte, M. T., Bacon, K. J., & Hopkins, J. W. (1998). Measures of economic and environmental performance for alternative agricultural production systems. Journal of Production Agriculture, 11(4), 428-438. doi:10.2134/jpa1998.0428","Plot","Experiment (on farm)","USA","North America","HIC","Synthetic - below threshold","rainfed",0,1,1,"other","NA","NA","NA","NA","NA",104.2411642,2.042411642,"2.0424116419999998","NA","Mixed",NA,"Mix-Mix"
36,61,"Bedoussac L., Journet E.-P., Hauggaard-Nielsen H., Naudin C., Corre-Hellou G., Jensen E.S., Prieur L., Justes E.",2015,"Ecological principles underlying the increase of productivity achieved by cereal-grain legume intercrops in organic farming. A review","Bedoussac, L., Journet, E. P., Hauggaard-Nielsen, H., Naudin, C., Corre-Hellou, G., Jensen, E. S., . . . Justes, E. (2015). Ecological principles underlying the increase of productivity achieved by cereal-grain legume intercrops in organic farming. A review. Agronomy for Sustainable Development, 35(3), 911-935. doi:10.1007/s13593-014-0277-7","Plot","Review","Denmark, France","Europe","HIC","No synthetic","rainfed",22.222222,1.22222222,1.22222222,"Cumulative grain yield","NA","NA","NA","NA","NA",21.6637782,1.216637782,"1.2166377820000001","NA","NA",NA,"Win-Win"
37,64,"Belay D., Schulthess F., Omwega C.",2009,"The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia","Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",-1.025,0.98975,0.98975,"Cumulative grain yield","NA","NA","NA","NA","NA",0,1,"1","NA","NA",NA,"Mix-Mix"
38,64,"Belay D., Schulthess F., Omwega C.",2009,"The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia","Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",15.37,1.1537,1.1537,"Cumulative grain yield","NA","NA","NA","NA","NA",15,1.15,"1.1499999999999999","NA","NA",NA,"Win-Win"
39,64,"Belay D., Schulthess F., Omwega C.",2009,"The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia","Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",7.27,1.0727,1.0727,"Cumulative grain yield","NA","NA","NA","NA","NA",5,1.05,"1.05","NA","NA",NA,"Mix-Win"
40,778,"Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., Pageau, D., Semagn, K., & Wang, Z. (2018, Dec).",2018,"Rotational Diversity Effects in a Triticale-based Cropping System","Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., . . . Wang, Z. (2018). Rotational Diversity Effects in a Triticale-based Cropping System. Cereal Research Communications, 46(4), 717-728. doi:10.1556/0806.46.2018.051","Plot","Experiment (research station)","Canada","North America","HIC","Unknown","irrigation",3.4782608695652,1.03478260869565,1.03478260869565,"Non-legume yield only","NA","NA","NA","NA","NA",14.1935483870968,1.14193548387097,"1.1419354838709677","NA","NA",NA,"Win-Win"
43,72,"Bhat R., Hussain S., Wani W.M., Banday F.A., Sharma M.K.",2015,"Effect of intercrops on productivity, quality, leaf nutrient status and relative economic yield of apple cv. Red Delicious","Bhat, R., Hussain, S., Wani, W. M., Banday, F. A., & Sharma, M. K. (2015). Effect of intercrops on productivity, quality, leaf nutrient status and relative economic yield of apple cv. Red Delicious. Journal of Applied Horticulture, 17(3), 213-216.","Plot","Experiment (on farm)","India","Asia","LMIC","Unknown","rainfed",45.050822,1.45050822,1.45050822,"Cumulative grain yield","NA","NA","NA","NA","NA",49.9866365,1.499866365,"1.4998663649999999","NA","NA",NA,"Win-Win"
44,72,"Bhat R., Hussain S., Wani W.M., Banday F.A., Sharma M.K.",2015,"Effect of intercrops on productivity, quality, leaf nutrient status and relative economic yield of apple cv. Red Delicious","Bhat, R., Hussain, S., Wani, W. M., Banday, F. A., & Sharma, M. K. (2015). Effect of intercrops on productivity, quality, leaf nutrient status and relative economic yield of apple cv. Red Delicious. Journal of Applied Horticulture, 17(3), 213-216.","Plot","Experiment (on farm)","India","Asia","LMIC","Unknown","rainfed",28.051198,1.28051198,1.28051198,"Cumulative grain yield","NA","NA","NA","NA","NA",22.135074,1.22135074,"1.2213507400000001","NA","NA",NA,"Win-Win"
45,74,"Bitew Y., Alemayehu G., Adgo E., Assefa A.",2020,"Competition, production efficiency and yield stability of finger millet and legume additive design intercropping","Bitew, Y., Alemayehu, G., Adgo, E., & Assefa, A. (2020). Competition, production efficiency and yield stability of finger millet and legume additive design intercropping. Renewable Agriculture and Food Systems. doi:10.1017/S1742170520000101","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",57.4,1.574,1.574,"Cumulative grain yield","NA","NA","NA","NA","NA",37.65,1.3765,"1.3765000000000001","Positive","NA",NA,"Win-Win"
46,776,"Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019, Dec).",2019,"Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes","Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019). Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes. Cogent Food & Agriculture, 5(1), 22. doi:10.1080/23311932.2019.1702826","Plot","Experiment (on farm)","Ethiopia","Affrica","LIC","Synthetic - below threshold","rainfed",10.3073646,1.103073646,1.103073646,"Cumulative grain yield","NA","NA","NA","NA","NA",23.1012395251107,1.23101239525111,"1.2310123952511072","NA","NA",NA,"Win-Win"
47,776,"Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019, Dec).",2019,"Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes","Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019). Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes. Cogent Food & Agriculture, 5(1), 22. doi:10.1080/23311932.2019.1702826","Plot","Experiment (on farm)","Ethiopia","Affrica","LIC","Synthetic - below threshold","rainfed",22.8667072,1.228667072,1.228667072,"Cumulative grain yield","NA","NA","NA","NA","NA",35.3598980580227,1.35359898058023,"1.3535989805802267","NA","NA",NA,"Win-Win"
49,97,"Chapagain T., Pudasaini R., Ghimire B., Gurung K., Choi K., Rai L., Magar S., BK B., Raizada M.N.",2018,"Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal","Chapagain, T., Pudasaini, R., Ghimire, B., Gurung, K., Choi, K., Rai, L., . . . Raizada, M. N. (2018). Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal. Field Crops Research, 227, 91-101. doi:10.1016/j.fcr.2018.07.016","Village","Experiment (on farm)","Nepal","Asia","LMIC","Synthetic - below threshold","rainfed",21.022727,1.21022727,1.21022727,"Cumulative grain yield","NA","NA","NA","NA","NA",67,1.67,"1.67","NA","NA",NA,"Win-Win"
50,97,"Chapagain T., Pudasaini R., Ghimire B., Gurung K., Choi K., Rai L., Magar S., BK B., Raizada M.N.",2018,"Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal","Chapagain, T., Pudasaini, R., Ghimire, B., Gurung, K., Choi, K., Rai, L., . . . Raizada, M. N. (2018). Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal. Field Crops Research, 227, 91-101. doi:10.1016/j.fcr.2018.07.016","Village","Experiment (on farm)","Nepal","Asia","LMIC","Synthetic - below threshold","rainfed",25.568182,1.25568182,1.25568182,"Cumulative grain yield","NA","NA","NA","NA","NA",188,2.88,"2.88","NA","NA",NA,"Win-Win"
51,97,"Chapagain T., Pudasaini R., Ghimire B., Gurung K., Choi K., Rai L., Magar S., BK B., Raizada M.N.",2018,"Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal","Chapagain, T., Pudasaini, R., Ghimire, B., Gurung, K., Choi, K., Rai, L., . . . Raizada, M. N. (2018). Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal. Field Crops Research, 227, 91-101. doi:10.1016/j.fcr.2018.07.016","Village","Experiment (on farm)","Nepal","Asia","LMIC","Synthetic - below threshold","rainfed",30.487805,1.30487805,1.30487805,"Cumulative grain yield","NA","NA","NA","NA","NA",15,1.15,"1.1499999999999999","NA","NA",NA,"Win-Win"
52,97,"Chapagain T., Pudasaini R., Ghimire B., Gurung K., Choi K., Rai L., Magar S., BK B., Raizada M.N.",2018,"Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal","Chapagain, T., Pudasaini, R., Ghimire, B., Gurung, K., Choi, K., Rai, L., . . . Raizada, M. N. (2018). Intercropping of maize, millet, mustard, wheat and ginger increased land productivity and potential economic returns for smallholder terrace farmers in Nepal. Field Crops Research, 227, 91-101. doi:10.1016/j.fcr.2018.07.016","Village","Experiment (on farm)","Nepal","Asia","LMIC","Synthetic - below threshold","rainfed",16,1.16,1.16,"Cumulative grain yield","NA","NA","NA","NA","NA",54,1.54,"1.54","NA","NA",NA,"Win-Win"
