"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Prov_services_average_percent_transf","Prov_services_average","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Nonecon_wellbeing_average_percent_transf","Nonecon_wellbeing_average","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
33,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",7.33715103793844,1.07337151037938,1.07337151037938,"Equivalent yield","NA","NA","NA","NA","NA",14,1.14,"1.1399999999999999","NA","NA","NA","NA","NA","NA","NA","Mix-Mix"
34,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",5.94130279169649,1.05941302791696,1.05941302791696,"Equivalent yield","NA","NA","NA","NA","NA",13,1.13,"1.1299999999999999","NA","NA","NA","NA","NA","NA","NA","Mix-Mix"
36,61,"Bedoussac L., Journet E.-P., Hauggaard-Nielsen H., Naudin C., Corre-Hellou G., Jensen E.S., Prieur L., Justes E.",2015,"Ecological principles underlying the increase of productivity achieved by cereal-grain legume intercrops in organic farming. A review","Bedoussac, L., Journet, E. P., Hauggaard-Nielsen, H., Naudin, C., Corre-Hellou, G., Jensen, E. S., . . . Justes, E. (2015). Ecological principles underlying the increase of productivity achieved by cereal-grain legume intercrops in organic farming. A review. Agronomy for Sustainable Development, 35(3), 911-935. doi:10.1007/s13593-014-0277-7","Plot","Review","Denmark, France","Europe","HIC","No synthetic","rainfed",22.222222,1.22222222,1.22222222,"Cumulative grain yield","NA","NA","NA","NA","NA",20.132655,1.20132655,"1.27","1.1326531","NA","NA","NA","NA","NA","NA","Win-Win"
37,64,"Belay D., Schulthess F., Omwega C.",2009,"The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia","Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",-1.025,0.98975,0.98975,"Cumulative grain yield","NA","NA","NA","NA","NA",5,1.05,"1.05","NA","NA","NA","NA","NA","NA","NA","Mix-Mix"
38,64,"Belay D., Schulthess F., Omwega C.",2009,"The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia","Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",15.37,1.1537,1.1537,"Cumulative grain yield","NA","NA","NA","NA","NA",22.5,1.225,"1.2250000000000001","NA","NA","NA","NA","NA","NA","NA","Win-Win"
39,64,"Belay D., Schulthess F., Omwega C.",2009,"The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia","Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",7.27,1.0727,1.0727,"Cumulative grain yield","NA","NA","NA","NA","NA",37.5,1.375,"1.375","NA","NA","NA","NA","NA","NA","NA","Mix-Win"
40,778,"Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., Pageau, D., Semagn, K., & Wang, Z. (2018, Dec).",2018,"Rotational Diversity Effects in a Triticale-based Cropping System","Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., . . . Wang, Z. (2018). Rotational Diversity Effects in a Triticale-based Cropping System. Cereal Research Communications, 46(4), 717-728. doi:10.1556/0806.46.2018.051","Plot","Experiment (research station)","Canada","North America","HIC","Unknown","irrigation",3.4782608695652,1.03478260869565,1.03478260869565,"Non-legume yield only","NA","NA","NA","NA","NA",3.03983228511531,1.03039832285115,"NA","1.0303983228511531","NA","NA","NA","NA","NA","NA","Win-Win"
41,778,"Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., Pageau, D., Semagn, K., & Wang, Z. (2018, Dec).",2018,"Rotational Diversity Effects in a Triticale-based Cropping System","Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., . . . Wang, Z. (2018). Rotational Diversity Effects in a Triticale-based Cropping System. Cereal Research Communications, 46(4), 717-728. doi:10.1556/0806.46.2018.052","Plot","Experiment (research station)","Canada","North America","HIC","Unknown","irrigation",0.579710144927548,1.00579710144928,1.00579710144928,"Non-legume yield only","NA","NA","NA","NA","NA",3.14465408805031,1.0314465408805,"NA","1.0314465408805031","NA","NA","NA","NA","NA","NA","Mix-Win"
45,74,"Bitew Y., Alemayehu G., Adgo E., Assefa A.",2020,"Competition, production efficiency and yield stability of finger millet and legume additive design intercropping","Bitew, Y., Alemayehu, G., Adgo, E., & Assefa, A. (2020). Competition, production efficiency and yield stability of finger millet and legume additive design intercropping. Renewable Agriculture and Food Systems. doi:10.1017/S1742170520000101","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",57.4,1.574,1.574,"Cumulative grain yield","NA","NA","NA","NA","NA",21,1.21,"1.21","NA","NA","NA","Positive","NA","NA","NA","Win-Win"
46,776,"Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019, Dec).",2019,"Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes","Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019). Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes. Cogent Food & Agriculture, 5(1), 22. doi:10.1080/23311932.2019.1702826","Plot","Experiment (on farm)","Ethiopia","Affrica","LIC","Synthetic - below threshold","rainfed",10.3073646,1.103073646,1.103073646,"Cumulative grain yield","NA","NA","NA","NA","NA",53.3333333,1.533333333,"1.5333333330000001","NA","NA","NA","NA","NA","NA","NA","Win-Win"
